station,valid,tmpf,metar
EGLC,2026-04-13 00:20,46.40,EGLC 130020Z AUTO 21004KT 160V230 9999 NCD 08/04 Q1013
EGLC,2026-04-13 00:50,44.60,EGLC 130050Z AUTO 21003KT 170V240 9999 NCD 07/04 Q1013
EGLC,2026-04-13 01:20,44.60,EGLC 130120Z AUTO 23004KT 9999 NCD 07/04 Q1013
EGLC,2026-04-13 01:50,44.60,EGLC 130150Z AUTO 23004KT 9999 NCD 07/04 Q1013
EGLC,2026-04-13 02:20,44.60,EGLC 130220Z AUTO 21003KT 9999 NCD 07/04 Q1013
EGLC,2026-04-13 02:50,44.60,EGLC 130250Z AUTO 22003KT 9999 NCD 07/04 Q1013
EGLC,2026-04-13 03:20,42.80,EGLC 130320Z AUTO 22004KT 9999 NCD 06/04 Q1013
EGLC,2026-04-13 03:50,42.80,EGLC 130350Z AUTO 21003KT 170V240 9999 NCD 06/04 Q1013
EGLC,2026-04-13 04:20,42.80,EGLC 130420Z AUTO 20003KT 160V240 9999 NCD 06/04 Q1013
EGLC,2026-04-13 04:50,42.80,EGLC 130450Z AUTO 24003KT 210V290 9999 NCD 06/04 Q1013
EGLC,2026-04-13 05:20,42.80,EGLC 130520Z AUTO VRB01KT 9999 NCD 06/04 Q1013
EGLC,2026-04-13 05:50,42.80,EGLC 130550Z AUTO VRB01KT 9999 NCD 06/04 Q1013
EGLC,2026-04-13 06:20,44.60,EGLC 130620Z AUTO VRB02KT 9999 NCD 07/05 Q1013
EGLC,2026-04-13 06:50,44.60,EGLC 130650Z AUTO 04003KT 9999 NCD 07/05 Q1014
EGLC,2026-04-13 07:20,46.40,EGLC 130720Z AUTO VRB01KT 9999 NCD 08/05 Q1014
EGLC,2026-04-13 07:50,48.20,EGLC 130750Z AUTO VRB01KT 9999 NCD 09/05 Q1014
EGLC,2026-04-13 08:20,50.00,EGLC 130820Z AUTO VRB02KT 9999 NCD 10/05 Q1014
EGLC,2026-04-13 08:50,50.00,EGLC 130850Z AUTO VRB02KT 9999 NCD 10/05 Q1014
EGLC,2026-04-13 09:20,51.80,EGLC 130920Z AUTO 29004KT 250V360 9999 FEW029 SCT035 11/04 Q1013
EGLC,2026-04-13 09:50,55.40,EGLC 130950Z AUTO 27004KT 250V310 9999 BKN030 BKN045 13/04 Q1013
EGLC,2026-04-13 10:20,53.60,EGLC 131020Z AUTO 28005KT 260V320 9999 SCT035 SCT049 12/03 Q1013
EGLC,2026-04-13 10:50,53.60,EGLC 131050Z AUTO 27005KT 230V320 9999 -RA FEW047 12/03 Q1013
EGLC,2026-04-13 11:20,55.40,EGLC 131120Z AUTO VRB03KT 9999 NCD 13/02 Q1013
EGLC,2026-04-13 11:50,55.40,EGLC 131150Z AUTO 28005KT 240V310 9999 FEW048/// //////CB 13/03 Q1013
EGLC,2026-04-13 12:20,55.40,EGLC 131220Z AUTO 24003KT 160V320 9999 //////CB 13/01 Q1013
EGLC,2026-04-13 12:50,55.40,EGLC 131250Z AUTO 23007KT 190V300 9999 -RA //////CB 13/03 Q1013
EGLC,2026-04-13 13:20,50.00,EGLC 131320Z AUTO 23007KT 9999 -RA BKN047 10/05 Q1014 RESHGR
EGLC,2026-04-13 13:50,51.80,EGLC 131350Z AUTO 24004KT 210V270 9999 -RA FEW030/// BKN049/// //////CB 11/05 Q1014
EGLC,2026-04-13 14:20,55.40,EGLC 131420Z AUTO VRB02KT 9999 FEW045/// //////CB 13/05 Q1013
EGLC,2026-04-13 14:50,53.60,EGLC 131450Z AUTO 07003KT 030V110 9999 //////CB 12/04 Q1013
EGLC,2026-04-13 15:20,51.80,EGLC 131520Z AUTO 24010KT 9999 -RA SCT047/// //////CB 11/05 Q1013
EGLC,2026-04-13 15:50,48.20,EGLC 131550Z AUTO 29004KT 240V030 4300 RA SCT014/// BKN036/// OVC048/// //////CB 09/06 Q1014
EGLC,2026-04-13 16:20,51.80,EGLC 131620Z AUTO 04005KT 360V070 9999 FEW036/// //////CB 11/06 Q1013 RERA
EGLC,2026-04-13 16:50,51.80,EGLC 131650Z AUTO 07004KT 050V110 9999 //////CB 11/05 Q1013
EGLC,2026-04-13 17:20,51.80,EGLC 131720Z AUTO 10005KT 9999 NCD 11/05 Q1013
EGLC,2026-04-13 17:50,51.80,EGLC 131750Z AUTO 09006KT 9999 SCT045/// //////TCU 11/06 Q1013
