event_id,st,d,n_cat,n_store,prefix_by_id,prefix_by_lo
731555,RCSS,2026-07-24,11,1,true,true
731570,ZSQD,2026-07-24,11,1,true,true
735881,KATL,2026-07-24,11,1,true,true
754880,RCSS,2026-07-29,11,1,true,true
754891,WMKK,2026-07-29,11,1,true,true
883978,ZUCK,2026-08-23,11,1,true,true
496991,RKSI,2026-05-20,11,11,true,true
496992,CYYZ,2026-05-20,11,11,true,true
497025,RKPK,2026-05-20,11,1,true,true
582425,EGLC,2026-06-13,11,3,true,true
585968,RKSI,2026-06-14,11,1,true,true
585990,ZHHH,2026-06-14,11,1,true,true
589038,SBGR,2026-06-14,11,1,true,true
603549,RCSS,2026-06-19,11,1,true,true
657488,ZGGG,2026-07-04,11,1,true,true
675488,EDDM,2026-07-09,11,1,true,true
675509,OEJN,2026-07-09,11,1,true,true
693927,ZUCK,2026-07-14,11,1,true,true
359532,KDAL,2026-04-13,11,11,true,true
369869,EGLC,2026-04-14,11,11,true,true
390853,FACT,2026-04-20,11,11,true,true
408596,LEMD,2026-04-25,11,11,true,true
418820,EGLC,2026-04-28,11,11,true,true
366456,FACT,2026-04-13,11,11,true,true
408589,EDDM,2026-04-25,11,11,true,true
426265,EHAM,2026-04-30,11,11,true,true
460653,CYYZ,2026-05-10,11,11,true,true
479713,RKSI,2026-05-15,11,11,true,true
390831,RCSS,2026-04-20,11,11,true,true
408608,KSFO,2026-04-25,11,11,true,true
443329,KBKF,2026-05-05,11,11,true,true
460652,RKSI,2026-05-10,11,11,true,true
497015,ZUUU,2026-05-20,11,1,true,true
496995,KDAL,2026-05-20,11,1,true,true
515699,ZUUU,2026-05-25,11,1,true,true
533155,EDDM,2026-05-30,11,1,true,true
533160,WSSS,2026-05-30,11,1,true,true
533180,EFHK,2026-05-30,11,1,true,true
550259,KHOU,2026-06-04,11,1,true,true
568037,RKSI,2026-06-09,11,1,true,true
568050,RCSS,2026-06-09,11,1,true,true
639555,ZUUU,2026-06-29,11,1,true,true
639562,WMKK,2026-06-29,11,1,true,true
650038,RKSI,2026-07-02,11,3,true,true
712619,LTAC,2026-07-19,11,1,true,true
497021,KSFO,2026-05-20,11,1,true,true
515633,KSEA,2026-05-25,11,1,true,true
515715,FACT,2026-05-25,11,1,true,true
533174,KSFO,2026-05-30,11,1,true,true
262771,EGLC,2026-03-14,9,3,true,true
390809,SBGR,2026-04-20,11,11,true,true
408587,NZWN,2026-04-25,11,11,true,true
443312,VILK,2026-05-05,11,11,true,true
359571,ZBAA,2026-04-13,11,11,true,true
390837,KAUS,2026-04-20,11,11,true,true
408617,WIHH,2026-04-25,11,11,true,true
426264,RKPK,2026-04-30,11,11,true,true
433168,EGLC,2026-05-02,11,11,true,true
443321,EPWA,2026-05-05,11,11,true,true
479737,ZUUU,2026-05-15,11,11,true,true
754895,ZSQD,2026-07-29,11,1,true,true
693905,LFPB,2026-07-14,11,1,true,true
715763,KORD,2026-07-19,11,1,true,true
731542,RKSI,2026-07-24,11,1,true,true
