event_id,city,rule,target_date,source_value,completeness,band,lo,hi,floor,ceil,half_up,half_even,c_floor,c_ceil,c_half_up,c_half_even,frac
285780,Hong Kong,P_HKO_AbsDailyMax,2026-03-23,27.4,C,27°C,27.0,27.0,27,28,27,27,True,False,True,True,0.4
289208,Hong Kong,P_HKO_AbsDailyMax,2026-03-24,26.9,C,26°C,26.0,26.0,26,27,27,27,True,False,False,False,0.9
292577,Hong Kong,P_HKO_AbsDailyMax,2026-03-25,30.0,C,28°C or higher,28.0,,30,30,30,30,True,True,True,True,0.0
331891,Hong Kong,P_HKO_AbsDailyMax,2026-04-05,25.7,C,25°C,25.0,25.0,25,26,26,26,True,False,False,False,0.7
339087,Hong Kong,P_HKO_AbsDailyMax,2026-04-07,29.2,C,29°C,29.0,29.0,29,30,29,29,True,False,True,True,0.2
345417,Hong Kong,P_HKO_AbsDailyMax,2026-04-09,28.0,C,28°C,28.0,28.0,28,28,28,28,True,True,True,True,0.0
348990,Hong Kong,P_HKO_AbsDailyMax,2026-04-10,28.3,C,28°C,28.0,28.0,28,29,28,28,True,False,True,True,0.3
356098,Hong Kong,P_HKO_AbsDailyMax,2026-04-12,28.5,C,28°C,28.0,28.0,28,29,29,28,True,False,False,True,0.5
369887,Hong Kong,P_HKO_AbsDailyMax,2026-04-14,29.0,C,29°C,29.0,29.0,29,29,29,29,True,True,True,True,0.0
397990,Hong Kong,P_HKO_AbsDailyMax,2026-04-22,29.4,C,29°C,29.0,29.0,29,30,29,29,True,False,True,True,0.4
411990,Hong Kong,P_HKO_AbsDailyMax,2026-04-26,28.8,C,28°C,28.0,28.0,28,29,29,29,True,False,False,False,0.8
429715,Hong Kong,P_HKO_AbsDailyMax,2026-05-01,26.9,C,26°C,26.0,26.0,26,27,27,27,True,False,False,False,0.9
450197,Hong Kong,P_HKO_AbsDailyMax,2026-05-07,29.3,C,29°C,29.0,29.0,29,30,29,29,True,False,True,True,0.3
457237,Hong Kong,P_HKO_AbsDailyMax,2026-05-09,26.1,C,26°C,26.0,26.0,26,27,26,26,True,False,True,True,0.1
465276,Hong Kong,P_HKO_AbsDailyMax,2026-05-11,28.8,C,28°C,28.0,28.0,28,29,29,29,True,False,False,False,0.8
483460,Hong Kong,P_HKO_AbsDailyMax,2026-05-16,25.6,C,25°C,25.0,25.0,25,26,26,26,True,False,False,False,0.6
490245,Hong Kong,P_HKO_AbsDailyMax,2026-05-18,26.3,C,27°C,27.0,27.0,26,27,26,26,False,True,False,False,0.3
503637,Hong Kong,P_HKO_AbsDailyMax,2026-05-19,26.4,C,26°C,26.0,26.0,26,27,26,26,True,False,True,True,0.4
512230,Hong Kong,P_HKO_AbsDailyMax,2026-05-24,31.5,C,31°C,31.0,31.0,31,32,32,32,True,False,False,False,0.5
515645,Hong Kong,P_HKO_AbsDailyMax,2026-05-25,32.0,C,32°C,32.0,32.0,32,32,32,32,True,True,True,True,0.0
519075,Hong Kong,P_HKO_AbsDailyMax,2026-05-26,32.0,C,32°C,32.0,32.0,32,32,32,32,True,True,True,True,0.0
525767,Hong Kong,P_HKO_AbsDailyMax,2026-05-28,33.4,C,33°C or higher,33.0,,33,34,33,33,True,True,True,True,0.4
533158,Hong Kong,P_HKO_AbsDailyMax,2026-05-30,32.6,C,32°C,32.0,32.0,32,33,33,33,True,False,False,False,0.6
546775,Hong Kong,P_HKO_AbsDailyMax,2026-06-03,34.3,C,34°C or higher,34.0,,34,35,34,34,True,True,True,True,0.3
578706,Hong Kong,P_HKO_AbsDailyMax,2026-06-12,30.4,C,30°C,30.0,30.0,30,31,30,30,True,False,True,True,0.4
599815,Hong Kong,P_HKO_AbsDailyMax,2026-06-18,29.0,C,29°C,29.0,29.0,29,29,29,29,True,True,True,True,0.0
620937,Hong Kong,P_HKO_AbsDailyMax,2026-06-24,32.8,C,32°C,32.0,32.0,32,33,33,33,True,False,False,False,0.8
635485,Hong Kong,P_HKO_AbsDailyMax,2026-06-28,30.0,C,30°C,30.0,30.0,30,30,30,30,True,True,True,True,0.0
639545,Hong Kong,P_HKO_AbsDailyMax,2026-06-29,31.6,C,31°C,31.0,31.0,31,32,32,32,True,False,False,False,0.6
664852,Hong Kong,P_HKO_AbsDailyMax,2026-07-06,31.6,C,31°C,31.0,31.0,31,32,32,32,True,False,False,False,0.6
668423,Hong Kong,P_HKO_AbsDailyMax,2026-07-07,28.6,C,28°C,28.0,28.0,28,29,29,29,True,False,False,False,0.6
679198,Hong Kong,P_HKO_AbsDailyMax,2026-07-10,33.1,C,33°C,33.0,33.0,33,34,33,33,True,False,True,True,0.1
701555,Hong Kong,P_HKO_AbsDailyMax,2026-07-16,27.8,C,27°C,27.0,27.0,27,28,28,28,True,False,False,False,0.8
727803,Hong Kong,P_HKO_AbsDailyMax,2026-07-23,33.4,C,33°C,33.0,33.0,33,34,33,33,True,False,True,True,0.4
754874,Hong Kong,P_HKO_AbsDailyMax,2026-07-29,27.9,C,27°C,27.0,27.0,27,28,28,28,True,False,False,False,0.9
809308,Hong Kong,P_HKO_AbsDailyMax,2026-08-09,36.9,C,36°C,36.0,36.0,36,37,37,37,True,False,False,False,0.9
819145,Hong Kong,P_HKO_AbsDailyMax,2026-08-11,35.1,C,35°C,35.0,35.0,35,36,35,35,True,False,True,True,0.1
825629,Hong Kong,P_HKO_AbsDailyMax,2026-08-12,34.5,C,34°C,34.0,34.0,34,35,35,34,True,False,False,True,0.5
863264,Hong Kong,P_HKO_AbsDailyMax,2026-08-19,32.8,C,32°C,32.0,32.0,32,33,33,33,True,False,False,False,0.8
878979,Hong Kong,P_HKO_AbsDailyMax,2026-08-22,31.8,C,31°C,31.0,31.0,31,32,32,32,True,False,False,False,0.8
883971,Hong Kong,P_HKO_AbsDailyMax,2026-08-23,32.0,C,32°C,32.0,32.0,32,32,32,32,True,True,True,True,0.0
888503,Hong Kong,P_HKO_AbsDailyMax,2026-08-24,33.0,C,33°C,33.0,33.0,33,33,33,33,True,True,True,True,0.0
908176,Hong Kong,P_HKO_AbsDailyMax,2026-08-27,29.6,C,29°C,29.0,29.0,29,30,30,30,True,False,False,False,0.6
276872,Hong Kong,P_HKO_AbsDailyMax,2026-03-17,24.0,C,24°C,24.0,24.0,24,24,24,24,True,True,True,True,0.0
276784,Hong Kong,P_HKO_AbsDailyMax,2026-03-16,24.0,C,24°C or higher,24.0,,24,24,24,24,True,True,True,True,0.0
299428,Hong Kong,P_HKO_AbsDailyMax,2026-03-27,26.2,C,26°C,26.0,26.0,26,27,26,26,True,False,True,True,0.2
302810,Hong Kong,P_HKO_AbsDailyMax,2026-03-28,27.4,C,27°C,27.0,27.0,27,28,27,27,True,False,True,True,0.4
335435,Hong Kong,P_HKO_AbsDailyMax,2026-04-06,28.1,C,28°C,28.0,28.0,28,29,28,28,True,False,True,True,0.1
359542,Hong Kong,P_HKO_AbsDailyMax,2026-04-13,29.7,C,29°C,29.0,29.0,29,30,30,30,True,False,False,False,0.7
384030,Hong Kong,P_HKO_AbsDailyMax,2026-04-18,28.5,C,28°C,28.0,28.0,28,29,29,28,True,False,False,True,0.5
387436,Hong Kong,P_HKO_AbsDailyMax,2026-04-19,30.0,C,30°C,30.0,30.0,30,30,30,30,True,True,True,True,0.0
426244,Hong Kong,P_HKO_AbsDailyMax,2026-04-30,26.7,C,25°C or higher,25.0,,26,27,27,27,True,True,True,True,0.7
448467,Hong Kong,P_HKO_AbsDailyMax,2026-05-06,24.6,C,24°C,24.0,24.0,24,25,25,25,True,False,False,False,0.6
460666,Hong Kong,P_HKO_AbsDailyMax,2026-05-10,26.1,C,26°C,26.0,26.0,26,27,26,26,True,False,True,True,0.1
472577,Hong Kong,P_HKO_AbsDailyMax,2026-05-13,31.1,C,31°C or higher,31.0,,31,32,31,31,True,True,True,True,0.1
486838,Hong Kong,P_HKO_AbsDailyMax,2026-05-17,25.4,C,25°C,25.0,25.0,25,26,25,25,True,False,True,True,0.4
497005,Hong Kong,P_HKO_AbsDailyMax,2026-05-20,30.7,C,30°C or higher,30.0,,30,31,31,31,True,True,True,True,0.7
543482,Hong Kong,P_HKO_AbsDailyMax,2026-06-02,33.3,C,33°C,33.0,33.0,33,34,33,33,True,False,True,True,0.3
560841,Hong Kong,P_HKO_AbsDailyMax,2026-06-06,30.4,C,30°C,30.0,30.0,30,31,30,30,True,False,True,True,0.4
564406,Hong Kong,P_HKO_AbsDailyMax,2026-06-07,32.0,C,32°C,32.0,32.0,32,32,32,32,True,True,True,True,0.0
571434,Hong Kong,P_HKO_AbsDailyMax,2026-06-10,28.6,C,28°C,28.0,28.0,28,29,29,29,True,False,False,False,0.6
582434,Hong Kong,P_HKO_AbsDailyMax,2026-06-13,30.6,C,30°C,30.0,30.0,30,31,31,31,True,False,False,False,0.6
593026,Hong Kong,P_HKO_AbsDailyMax,2026-06-16,27.1,C,27°C,27.0,27.0,27,28,27,27,True,False,True,True,0.1
