event_id,city,rule,target_date,source_value,completeness,band,lo,hi,floor,ceil,half_up,half_even,c_floor,c_ceil,c_half_up,c_half_even,frac
289208,Hong Kong,P_HKO_AbsDailyMax,2026-03-24,26.9,C,26°C,26.0,26.0,26,27,27,27,True,False,False,False,0.9
331891,Hong Kong,P_HKO_AbsDailyMax,2026-04-05,25.7,C,25°C,25.0,25.0,25,26,26,26,True,False,False,False,0.7
356098,Hong Kong,P_HKO_AbsDailyMax,2026-04-12,28.5,C,28°C,28.0,28.0,28,29,29,28,True,False,False,True,0.5
411990,Hong Kong,P_HKO_AbsDailyMax,2026-04-26,28.8,C,28°C,28.0,28.0,28,29,29,29,True,False,False,False,0.8
429715,Hong Kong,P_HKO_AbsDailyMax,2026-05-01,26.9,C,26°C,26.0,26.0,26,27,27,27,True,False,False,False,0.9
465276,Hong Kong,P_HKO_AbsDailyMax,2026-05-11,28.8,C,28°C,28.0,28.0,28,29,29,29,True,False,False,False,0.8
483460,Hong Kong,P_HKO_AbsDailyMax,2026-05-16,25.6,C,25°C,25.0,25.0,25,26,26,26,True,False,False,False,0.6
512230,Hong Kong,P_HKO_AbsDailyMax,2026-05-24,31.5,C,31°C,31.0,31.0,31,32,32,32,True,False,False,False,0.5
533158,Hong Kong,P_HKO_AbsDailyMax,2026-05-30,32.6,C,32°C,32.0,32.0,32,33,33,33,True,False,False,False,0.6
620937,Hong Kong,P_HKO_AbsDailyMax,2026-06-24,32.8,C,32°C,32.0,32.0,32,33,33,33,True,False,False,False,0.8
639545,Hong Kong,P_HKO_AbsDailyMax,2026-06-29,31.6,C,31°C,31.0,31.0,31,32,32,32,True,False,False,False,0.6
664852,Hong Kong,P_HKO_AbsDailyMax,2026-07-06,31.6,C,31°C,31.0,31.0,31,32,32,32,True,False,False,False,0.6
668423,Hong Kong,P_HKO_AbsDailyMax,2026-07-07,28.6,C,28°C,28.0,28.0,28,29,29,29,True,False,False,False,0.6
701555,Hong Kong,P_HKO_AbsDailyMax,2026-07-16,27.8,C,27°C,27.0,27.0,27,28,28,28,True,False,False,False,0.8
754874,Hong Kong,P_HKO_AbsDailyMax,2026-07-29,27.9,C,27°C,27.0,27.0,27,28,28,28,True,False,False,False,0.9
809308,Hong Kong,P_HKO_AbsDailyMax,2026-08-09,36.9,C,36°C,36.0,36.0,36,37,37,37,True,False,False,False,0.9
825629,Hong Kong,P_HKO_AbsDailyMax,2026-08-12,34.5,C,34°C,34.0,34.0,34,35,35,34,True,False,False,True,0.5
863264,Hong Kong,P_HKO_AbsDailyMax,2026-08-19,32.8,C,32°C,32.0,32.0,32,33,33,33,True,False,False,False,0.8
878979,Hong Kong,P_HKO_AbsDailyMax,2026-08-22,31.8,C,31°C,31.0,31.0,31,32,32,32,True,False,False,False,0.8
908176,Hong Kong,P_HKO_AbsDailyMax,2026-08-27,29.6,C,29°C,29.0,29.0,29,30,30,30,True,False,False,False,0.6
359542,Hong Kong,P_HKO_AbsDailyMax,2026-04-13,29.7,C,29°C,29.0,29.0,29,30,30,30,True,False,False,False,0.7
384030,Hong Kong,P_HKO_AbsDailyMax,2026-04-18,28.5,C,28°C,28.0,28.0,28,29,29,28,True,False,False,True,0.5
448467,Hong Kong,P_HKO_AbsDailyMax,2026-05-06,24.6,C,24°C,24.0,24.0,24,25,25,25,True,False,False,False,0.6
571434,Hong Kong,P_HKO_AbsDailyMax,2026-06-10,28.6,C,28°C,28.0,28.0,28,29,29,29,True,False,False,False,0.6
582434,Hong Kong,P_HKO_AbsDailyMax,2026-06-13,30.6,C,30°C,30.0,30.0,30,31,31,31,True,False,False,False,0.6
624485,Hong Kong,P_HKO_AbsDailyMax,2026-06-25,32.9,C,32°C,32.0,32.0,32,33,33,33,True,False,False,False,0.9
671844,Hong Kong,P_HKO_AbsDailyMax,2026-07-08,31.8,C,31°C,31.0,31.0,31,32,32,32,True,False,False,False,0.8
675491,Hong Kong,P_HKO_AbsDailyMax,2026-07-09,31.8,C,31°C,31.0,31.0,31,32,32,32,True,False,False,False,0.8
686638,Hong Kong,P_HKO_AbsDailyMax,2026-07-12,34.5,C,34°C,34.0,34.0,34,35,35,34,True,False,False,True,0.5
708824,Hong Kong,P_HKO_AbsDailyMax,2026-07-18,30.5,C,30°C,30.0,30.0,30,31,31,30,True,False,False,True,0.5
746389,Hong Kong,P_HKO_AbsDailyMax,2026-07-27,28.7,C,28°C,28.0,28.0,28,29,29,29,True,False,False,False,0.7
771084,Hong Kong,P_HKO_AbsDailyMax,2026-08-01,28.9,C,28°C,28.0,28.0,28,29,29,29,True,False,False,False,0.9
