station,valid,metar
LGA,2026-08-01 00:51,KLGA 010051Z 16008G15KT 060V190 10SM FEW050 BKN090 BKN250 26/21 A2992 RMK AO2 SLP132 T02610206 $
LGA,2026-08-01 01:51,KLGA 010151Z 17006KT 10SM FEW050 SCT090 SCT250 26/21 A2993 RMK AO2 SLP136 T02560206 $
LGA,2026-08-01 02:51,KLGA 010251Z 18006KT 10SM SCT250 25/21 A2993 RMK AO2 SLP135 T02500211 50007 $
LGA,2026-08-01 03:51,KLGA 010351Z 19006KT 10SM SCT250 25/22 A2993 RMK AO2 SLP135 T02500217 $
LGA,2026-08-01 04:51,KLGA 010451Z 20006KT 10SM SCT250 25/21 A2992 RMK AO2 SLP133 T02500211 403000217 $
LGA,2026-08-01 05:51,KLGA 010551Z 22007KT 10SM FEW060 SCT250 25/21 A2992 RMK AO2 SLP132 T02500206 10267 20250 58003 $
LGA,2026-08-01 06:51,KLGA 010651Z 21004KT 10SM SCT250 24/21 A2993 RMK AO2 SLP135 T02440206 $
LGA,2026-08-01 07:51,KLGA 010751Z 00000KT 10SM SCT250 24/20 A2993 RMK AO2 SLP136 T02390200 $
LGA,2026-08-01 08:51,KLGA 010851Z 00000KT 10SM BKN250 24/20 A2993 RMK AO2 SLP135 T02390200 50003 $
LGA,2026-08-01 09:51,KLGA 010951Z 00000KT 10SM FEW100 BKN250 23/20 A2994 RMK AO2 SLP139 T02330200 $
LGA,2026-08-01 10:51,KLGA 011051Z 00000KT 10SM FEW100 BKN250 24/19 A2995 RMK AO2 SLP140 T02390194 $
LGA,2026-08-01 11:51,KLGA 011151Z 32004KT 10SM FEW100 BKN250 24/19 A2995 RMK AO2 SLP141 T02440194 10250 20233 51006 $
LGA,2026-08-01 12:51,KLGA 011251Z 33003KT 10SM FEW100 BKN250 27/19 A2995 RMK AO2 SLP142 T02670189 $
LGA,2026-08-01 13:51,KLGA 011351Z 33003KT 10SM FEW130 BKN250 27/19 A2995 RMK AO2 SLP142 T02720194 $
LGA,2026-08-01 14:51,KLGA 011451Z 32003KT 10SM FEW060 BKN250 29/18 A2995 RMK AO2 SLP142 T02890183 51001 $
LGA,2026-08-01 15:51,KLGA 011551Z 19010KT 10SM SCT055 BKN250 29/20 A2995 RMK AO2 SLP142 T02940200 $
LGA,2026-08-01 16:51,KLGA 011651Z 19012G19KT 10SM FEW046TCU SCT065 SCT090 BKN250 30/19 A2994 RMK AO2 SLP139 TCU N-NE T03000194 $
LGA,2026-08-01 17:51,KLGA 011751Z 17014G20KT 10SM FEW047TCU SCT065 SCT090 BKN250 31/19 A2993 RMK AO2 SLP136 TCU N T03060189 10306 20244 58006 $
LGA,2026-08-01 18:51,KLGA 011851Z 19015G20KT 10SM FEW049TCU SCT070 SCT090 SCT170 BKN250 30/17 A2993 RMK AO2 SLP135 TCU N T03000172 $
LGA,2026-08-01 19:51,KLGA 011951Z 17017G24KT 10SM FEW055TCU SCT070 SCT090 SCT170 BKN250 30/16 A2992 RMK AO2 PK WND 17027/1919 SLP132 TCU N T03000161 $
LGA,2026-08-01 20:51,KLGA 012051Z 17014G24KT 10SM FEW045TCU SCT090 SCT170 BKN250 29/19 A2992 RMK AO2 SLP132 TCU N T02890189 56004 $
LGA,2026-08-01 21:51,KLGA 012151Z 18016G25KT 10SM FEW045TCU SCT070 SCT090 SCT170 BKN250 28/19 A2992 RMK AO2 SLP131 TCU NW-N T02780194 $
LGA,2026-08-01 22:51,KLGA 012251Z 17011KT 10SM FEW045TCU SCT070 SCT120 SCT170 BKN250 27/20 A2991 RMK AO2 SLP128 TCU W-NW T02670200 $
LGA,2026-08-01 23:51,KLGA 012351Z 17012KT 10SM FEW045 SCT070 SCT120 BKN150 BKN250 27/19 A2991 RMK AO2 SLP128 T02670194 10306 20267 56004 $
LGA,2026-08-02 00:51,KLGA 020051Z 18014KT 10SM FEW045 SCT070 BKN120 BKN250 26/21 A2992 RMK AO2 SLP132 T02560211 $
LGA,2026-08-02 01:51,KLGA 020151Z 18014G20KT 10SM FEW050 SCT120 BKN250 26/22 A2994 RMK AO2 SLP138 T02560222 $
LGA,2026-08-02 02:51,KLGA 020251Z 18008KT 10SM SCT012 BKN120 BKN250 25/22 A2994 RMK AO2 SLP139 T02500222 51011 $
LGA,2026-08-02 03:51,KLGA 020351Z 18008KT 10SM SCT014 BKN120 BKN250 25/23 A2995 RMK AO2 SLP142 T02500228 $
LGA,2026-08-02 04:51,KLGA 020451Z 17008KT 10SM FEW014 BKN120 BKN250 25/23 A2996 RMK AO2 SLP144 T02500228 403060233 $
LGA,2026-08-02 05:51,KLGA 020551Z 18007KT 10SM FEW014 SCT120 BKN250 25/22 A2995 RMK AO2 SLP142 T02500222 10267 20250 50003 $
LGA,2026-08-02 06:51,KLGA 020651Z 17005KT 10SM SCT100 BKN250 25/22 A2994 RMK AO2 SLP140 T02500217 $
LGA,2026-08-02 07:51,KLGA 020751Z 18005KT 10SM SCT120 BKN250 25/22 A2993 RMK AO2 SLP136 T02500217 $
LGA,2026-08-02 08:51,KLGA 020851Z 18007KT 10SM FEW015 BKN120 BKN250 25/22 A2994 RMK AO2 SLP138 T02500217 55003 $
LGA,2026-08-02 09:51,KLGA 020951Z 18006KT 10SM FEW070 BKN120 BKN250 25/21 A2995 RMK AO2 SLP142 T02500211 $
LGA,2026-08-02 10:51,KLGA 021051Z 18006KT 10SM FEW013 FEW070 BKN120 BKN170 BKN250 25/22 A2996 RMK AO2 SLP144 T02500217 $
LGA,2026-08-02 11:51,KLGA 021151Z 19011KT 10SM FEW013 FEW070 BKN120 BKN170 BKN230 25/22 A2996 RMK AO2 SLP144 T02500217 10250 20244 50005 $
LGA,2026-08-02 12:51,KLGA 021251Z 17010KT 10SM FEW016 FEW070 BKN120 BKN170 BKN200 26/22 A2995 RMK AO2 SLP143 T02610222 $
LGA,2026-08-02 13:51,KLGA 021351Z 17014KT 10SM FEW020 FEW070 SCT120 BKN170 BKN200 27/22 A2994 RMK AO2 SLP140 T02670217 $
LGA,2026-08-02 14:51,KLGA 021451Z 18016KT 10SM FEW024 SCT070 SCT120 BKN170 BKN200 27/22 A2995 RMK AO2 SLP140 T02720217 55003 $
LGA,2026-08-02 15:51,KLGA 021551Z 18011G22KT 10SM FEW018 SCT028 SCT036 BKN150 BKN200 27/22 A2994 RMK AO2 SLP137 T02670222 $
LGA,2026-08-02 16:51,KLGA 021651Z 18016G25KT 10SM FEW022 SCT029 BKN090 BKN150 BKN250 28/22 A2993 RMK AO2 SLP133 T02830222 $
LGA,2026-08-02 17:51,KLGA 021751Z 15011G22KT 10SM SCT025 SCT031 BKN080 BKN150 BKN200 28/22 A2991 RMK AO2 PK WND 16027/1722 SLP128 T02830217 10300 20250 58013 $
LGA,2026-08-02 18:51,KLGA 021851Z 17013G21KT 10SM FEW030 SCT070 SCT150 BKN200 BKN250 28/21 A2989 RMK AO2 SLP122 T02830206 $
LGA,2026-08-02 19:51,KLGA 021951Z 17013G22KT 10SM SCT033 SCT070 BKN150 BKN200 BKN250 29/20 A2987 RMK AO2 SLP115 T02940200 $
LGA,2026-08-02 20:51,KLGA 022051Z 15011G22KT 130V190 10SM SCT028 BKN035 BKN070 BKN150 BKN200 28/22 A2986 RMK AO2 SLP112 T02830217 56016 $
LGA,2026-08-02 21:51,KLGA 022151Z 12011KT 10SM SCT022 BKN030 BKN036 BKN130 BKN250 28/22 A2984 RMK AO2 SLP105 T02780222 $
LGA,2026-08-02 22:47,KLGA 022247Z 15009G17KT 10SM BKN018 BKN030 BKN100 OVC250 27/23 A2984 RMK AO2 $
LGA,2026-08-02 22:51,KLGA 022251Z 13009KT 10SM BKN018 BKN030 BKN100 OVC250 27/23 A2984 RMK AO2 SLP105 T02670228 $
LGA,2026-08-02 23:51,KLGA 022351Z 10008G17KT 10SM BKN016 BKN030 BKN100 OVC250 28/23 A2984 RMK AO2 SLP103 T02780228 10294 20261 56009 $
LGA,2026-08-03 00:51,KLGA 030051Z 15009KT 10SM BKN016 BKN030 BKN100 OVC250 26/23 A2983 RMK AO2 RAB33E46 SLP102 P0000 T02610233 $
LGA,2026-08-03 01:51,KLGA 030151Z 16010KT 10SM SCT011 BKN022 BKN100 OVC250 26/23 A2983 RMK AO2 RAB18E29 SLP100 P0000 T02610233 $
LGA,2026-08-03 02:47,KLGA 030247Z 16013G18KT 10SM -RA BKN011 BKN020 OVC100 26/24 A2981 RMK AO2 RAB0153 P0000 $
