  2025-12-30: 24/24 ficheros, acumulado 1938 mensajes
  2026-01-03: 24/24 ficheros, acumulado 3824 mensajes
  2026-01-18: 24/24 ficheros, acumulado 5654 mensajes
  2026-02-03: 24/24 ficheros, acumulado 7467 mensajes
  2026-02-18: 24/24 ficheros, acumulado 9512 mensajes
  2026-03-03: 24/24 ficheros, acumulado 11490 mensajes
  2026-03-18: 24/24 ficheros, acumulado 13572 mensajes
  2026-04-03: 24/24 ficheros, acumulado 15307 mensajes
  2026-04-18: 24/24 ficheros, acumulado 17109 mensajes
  2026-05-03: 24/24 ficheros, acumulado 18880 mensajes
  2026-05-18: 24/24 ficheros, acumulado 20621 mensajes
  2026-06-03: 24/24 ficheros, acumulado 22246 mensajes
  2026-06-18: 24/24 ficheros, acumulado 23888 mensajes
  2026-07-03: 24/24 ficheros, acumulado 25441 mensajes
  2026-07-18: 24/24 ficheros, acumulado 26996 mensajes
  2026-08-03: 24/24 ficheros, acumulado 28442 mensajes
  2026-08-18: 24/24 ficheros, acumulado 29977 mensajes
  2026-09-01: 24/24 ficheros, acumulado 31463 mensajes
  2026-09-02: 24/24 ficheros, acumulado 32989 mensajes
  2026-09-03: 24/24 ficheros, acumulado 34387 mensajes
TOTAL mensajes: 34387
